"Step","train/box_loss","train/box_loss__MIN","train/box_loss__MAX"
"362","0.69769","0.69769","0.69769"
"363","0.68528","0.68528","0.68528"
"364","0.69532","0.69532","0.69532"
"365","0.69358","0.69358","0.69358"
"366","0.67081","0.67081","0.67081"
"367","0.66937","0.66937","0.66937"
"368","0.67972","0.67972","0.67972"
"369","0.67978","0.67978","0.67978"
"370","0.67191","0.67191","0.67191"
"371","0.6871","0.6871","0.6871"
"372","0.68882","0.68882","0.68882"
"373","0.66175","0.66175","0.66175"
"374","0.68459","0.68459","0.68459"
"375","0.66063","0.66063","0.66063"
"376","0.69121","0.69121","0.69121"
"377","0.67941","0.67941","0.67941"
"378","0.68099","0.68099","0.68099"
"379","0.65676","0.65676","0.65676"
"380","0.68541","0.68541","0.68541"
"381","0.68975","0.68975","0.68975"
"382","0.66102","0.66102","0.66102"
"383","0.67791","0.67791","0.67791"
"384","0.66679","0.66679","0.66679"
"385","0.64395","0.64395","0.64395"
"386","0.68784","0.68784","0.68784"
"387","0.65088","0.65088","0.65088"
"388","0.66876","0.66876","0.66876"
"389","0.67486","0.67486","0.67486"
"390","0.65802","0.65802","0.65802"
"391","0.6806","0.6806","0.6806"
"392","0.66633","0.66633","0.66633"
"393","0.67039","0.67039","0.67039"
"394","0.65412","0.65412","0.65412"
"395","0.6617","0.6617","0.6617"
"396","0.65687","0.65687","0.65687"
"397","0.64416","0.64416","0.64416"
"398","0.66076","0.66076","0.66076"
"399","0.65953","0.65953","0.65953"
"400","0.65968","0.65968","0.65968"
"401","0.64072","0.64072","0.64072"
"402","0.65948","0.65948","0.65948"
"403","0.62305","0.62305","0.62305"
"404","0.6554","0.6554","0.6554"
"405","0.65375","0.65375","0.65375"
"406","0.65831","0.65831","0.65831"
"407","0.62272","0.62272","0.62272"
"408","0.63255","0.63255","0.63255"
"409","0.63704","0.63704","0.63704"
"410","0.64997","0.64997","0.64997"
"411","0.62971","0.62971","0.62971"
"412","0.64624","0.64624","0.64624"
"413","0.64846","0.64846","0.64846"
"414","0.65012","0.65012","0.65012"
"415","0.63104","0.63104","0.63104"
"416","0.63765","0.63765","0.63765"
"417","0.62034","0.62034","0.62034"
"418","0.64222","0.64222","0.64222"
"419","0.62113","0.62113","0.62113"
"420","0.63484","0.63484","0.63484"
"421","0.61485","0.61485","0.61485"
"422","0.6232","0.6232","0.6232"
"423","0.63086","0.63086","0.63086"
"424","0.60386","0.60386","0.60386"
"425","0.6163","0.6163","0.6163"
"426","0.62604","0.62604","0.62604"
"427","0.6398","0.6398","0.6398"
"428","0.60326","0.60326","0.60326"
"429","0.60817","0.60817","0.60817"
"430","0.63448","0.63448","0.63448"
"431","0.60391","0.60391","0.60391"
"432","0.61508","0.61508","0.61508"
"433","0.62209","0.62209","0.62209"
"434","0.60581","0.60581","0.60581"
"435","0.62724","0.62724","0.62724"
"436","0.60024","0.60024","0.60024"
"437","0.59553","0.59553","0.59553"
"438","0.62539","0.62539","0.62539"
"439","0.61057","0.61057","0.61057"
"440","0.59972","0.59972","0.59972"
"441","0.59314","0.59314","0.59314"
"442","0.60374","0.60374","0.60374"
"443","0.60109","0.60109","0.60109"
"444","0.60131","0.60131","0.60131"
"445","0.59984","0.59984","0.59984"
"446","0.60434","0.60434","0.60434"
"447","0.6073","0.6073","0.6073"
"448","0.60909","0.60909","0.60909"
"449","0.59908","0.59908","0.59908"
