"Step","05072025_yolov11n_histEQ - train/box_loss","05072025_yolov11n_histEQ - train/box_loss__MIN","05072025_yolov11n_histEQ - train/box_loss__MAX","05072025_yolov11s_histEQ2 - train/box_loss","05072025_yolov11s_histEQ2 - train/box_loss__MIN","05072025_yolov11s_histEQ2 - train/box_loss__MAX","05072025_yolov11l_histEQ3 - train/box_loss","05072025_yolov11l_histEQ3 - train/box_loss__MIN","05072025_yolov11l_histEQ3 - train/box_loss__MAX","04072025_yolov11m_histEQ - train/box_loss","04072025_yolov11m_histEQ - train/box_loss__MIN","04072025_yolov11m_histEQ - train/box_loss__MAX"
"113","0.76439","0.76439","0.76439","0.90315","0.90315","0.90315","0.98773","0.98773","0.98773","0.98857","0.98857","0.98857"
"114","0.75554","0.75554","0.75554","0.87654","0.87654","0.87654","0.9851","0.9851","0.9851","0.94784","0.94784","0.94784"
"115","0.7672","0.7672","0.7672","0.89301","0.89301","0.89301","0.98539","0.98539","0.98539","0.95358","0.95358","0.95358"
"116","0.75094","0.75094","0.75094","0.86797","0.86797","0.86797","0.9871","0.9871","0.9871","0.97621","0.97621","0.97621"
"117","0.75468","0.75468","0.75468","0.87325","0.87325","0.87325","1.017","1.017","1.017","0.93495","0.93495","0.93495"
"118","0.75585","0.75585","0.75585","0.8695","0.8695","0.8695","1.00579","1.00579","1.00579","0.9343","0.9343","0.9343"
"119","0.77485","0.77485","0.77485","0.87618","0.87618","0.87618","0.95263","0.95263","0.95263","0.92976","0.92976","0.92976"
"120","0.77215","0.77215","0.77215","0.87385","0.87385","0.87385","0.97128","0.97128","0.97128","0.97365","0.97365","0.97365"
"121","0.76145","0.76145","0.76145","0.85125","0.85125","0.85125","1.01063","1.01063","1.01063","0.94527","0.94527","0.94527"
"122","0.74727","0.74727","0.74727","0.85443","0.85443","0.85443","0.98962","0.98962","0.98962","0.96129","0.96129","0.96129"
"123","0.76085","0.76085","0.76085","0.84818","0.84818","0.84818","0.99407","0.99407","0.99407","0.96706","0.96706","0.96706"
"124","0.73887","0.73887","0.73887","0.8253","0.8253","0.8253","0.98934","0.98934","0.98934","0.91726","0.91726","0.91726"
"125","0.74255","0.74255","0.74255","0.82716","0.82716","0.82716","0.96833","0.96833","0.96833","0.91281","0.91281","0.91281"
"126","0.75264","0.75264","0.75264","0.82877","0.82877","0.82877","0.96697","0.96697","0.96697","0.89304","0.89304","0.89304"
"127","0.74336","0.74336","0.74336","0.83259","0.83259","0.83259","0.98956","0.98956","0.98956","0.89981","0.89981","0.89981"
"128","0.76038","0.76038","0.76038","0.83897","0.83897","0.83897","1.00355","1.00355","1.00355","0.93298","0.93298","0.93298"
"129","0.77133","0.77133","0.77133","0.85972","0.85972","0.85972","0.97883","0.97883","0.97883","0.92382","0.92382","0.92382"
"130","0.76415","0.76415","0.76415","0.86317","0.86317","0.86317","0.97191","0.97191","0.97191","0.92608","0.92608","0.92608"
"131","0.754","0.754","0.754","0.84541","0.84541","0.84541","0.96732","0.96732","0.96732","0.90966","0.90966","0.90966"
"132","0.73644","0.73644","0.73644","0.84941","0.84941","0.84941","0.93463","0.93463","0.93463","0.91917","0.91917","0.91917"
"133","0.73706","0.73706","0.73706","0.82652","0.82652","0.82652","0.93463","0.93463","0.93463","0.86963","0.86963","0.86963"
"134","0.7408","0.7408","0.7408","0.84024","0.84024","0.84024","0.91686","0.91686","0.91686","0.89027","0.89027","0.89027"
"135","0.73642","0.73642","0.73642","0.83875","0.83875","0.83875","0.9283","0.9283","0.9283","0.93553","0.93553","0.93553"
"136","0.73756","0.73756","0.73756","0.83894","0.83894","0.83894","0.93502","0.93502","0.93502","0.91296","0.91296","0.91296"
"137","0.75014","0.75014","0.75014","0.85067","0.85067","0.85067","0.9221","0.9221","0.9221","0.90024","0.90024","0.90024"
"138","0.76585","0.76585","0.76585","0.8408","0.8408","0.8408","0.93962","0.93962","0.93962","0.88319","0.88319","0.88319"
"139","0.74292","0.74292","0.74292","0.83137","0.83137","0.83137","0.95823","0.95823","0.95823","0.91057","0.91057","0.91057"
"140","0.74742","0.74742","0.74742","0.82443","0.82443","0.82443","0.95154","0.95154","0.95154","0.95223","0.95223","0.95223"
"141","0.74006","0.74006","0.74006","0.84278","0.84278","0.84278","0.93138","0.93138","0.93138","0.94895","0.94895","0.94895"
"142","0.72387","0.72387","0.72387","0.80819","0.80819","0.80819","0.93274","0.93274","0.93274","0.89714","0.89714","0.89714"
