"Step","05072025_yolov11n_histEQ - train/cls_loss","05072025_yolov11n_histEQ - train/cls_loss__MIN","05072025_yolov11n_histEQ - train/cls_loss__MAX","05072025_yolov11s_histEQ2 - train/cls_loss","05072025_yolov11s_histEQ2 - train/cls_loss__MIN","05072025_yolov11s_histEQ2 - train/cls_loss__MAX","05072025_yolov11l_histEQ3 - train/cls_loss","05072025_yolov11l_histEQ3 - train/cls_loss__MIN","05072025_yolov11l_histEQ3 - train/cls_loss__MAX","04072025_yolov11m_histEQ - train/cls_loss","04072025_yolov11m_histEQ - train/cls_loss__MIN","04072025_yolov11m_histEQ - train/cls_loss__MAX"
"100","0.53415","0.53415","0.53415","0.63341","0.63341","0.63341","0.67675","0.67675","0.67675","0.65089","0.65089","0.65089"
"101","0.52627","0.52627","0.52627","0.64797","0.64797","0.64797","0.69305","0.69305","0.69305","0.64842","0.64842","0.64842"
"102","0.49061","0.49061","0.49061","0.59261","0.59261","0.59261","0.64554","0.64554","0.64554","0.64828","0.64828","0.64828"
"103","0.49116","0.49116","0.49116","0.61467","0.61467","0.61467","0.66783","0.66783","0.66783","0.66252","0.66252","0.66252"
"104","0.50914","0.50914","0.50914","0.6052","0.6052","0.6052","0.69116","0.69116","0.69116","0.67322","0.67322","0.67322"
"105","0.49349","0.49349","0.49349","0.60072","0.60072","0.60072","0.67633","0.67633","0.67633","0.70474","0.70474","0.70474"
"106","0.49919","0.49919","0.49919","0.58174","0.58174","0.58174","0.65706","0.65706","0.65706","0.6954","0.6954","0.6954"
"107","0.51046","0.51046","0.51046","0.60767","0.60767","0.60767","0.67816","0.67816","0.67816","0.67521","0.67521","0.67521"
"108","0.51707","0.51707","0.51707","0.61906","0.61906","0.61906","0.68954","0.68954","0.68954","0.65012","0.65012","0.65012"
"109","0.52093","0.52093","0.52093","0.60602","0.60602","0.60602","0.67452","0.67452","0.67452","0.6711","0.6711","0.6711"
"110","0.51992","0.51992","0.51992","0.58841","0.58841","0.58841","0.66422","0.66422","0.66422","0.65213","0.65213","0.65213"
"111","0.51682","0.51682","0.51682","0.57813","0.57813","0.57813","0.66995","0.66995","0.66995","0.67775","0.67775","0.67775"
"112","0.51419","0.51419","0.51419","0.58943","0.58943","0.58943","0.66636","0.66636","0.66636","0.64758","0.64758","0.64758"
"113","0.52037","0.52037","0.52037","0.60188","0.60188","0.60188","0.66886","0.66886","0.66886","0.65876","0.65876","0.65876"
"114","0.50308","0.50308","0.50308","0.61571","0.61571","0.61571","0.6641","0.6641","0.6641","0.61717","0.61717","0.61717"
"115","0.5181","0.5181","0.5181","0.62178","0.62178","0.62178","0.66713","0.66713","0.66713","0.63463","0.63463","0.63463"
"116","0.49493","0.49493","0.49493","0.58042","0.58042","0.58042","0.6567","0.6567","0.6567","0.6617","0.6617","0.6617"
"117","0.48821","0.48821","0.48821","0.57747","0.57747","0.57747","0.66841","0.66841","0.66841","0.62319","0.62319","0.62319"
"118","0.48318","0.48318","0.48318","0.57393","0.57393","0.57393","0.66473","0.66473","0.66473","0.63227","0.63227","0.63227"
"119","0.50088","0.50088","0.50088","0.57718","0.57718","0.57718","0.63643","0.63643","0.63643","0.6244","0.6244","0.6244"
"120","0.51301","0.51301","0.51301","0.58098","0.58098","0.58098","0.65481","0.65481","0.65481","0.63238","0.63238","0.63238"
"121","0.51169","0.51169","0.51169","0.57517","0.57517","0.57517","0.67269","0.67269","0.67269","0.64194","0.64194","0.64194"
"122","0.5025","0.5025","0.5025","0.57165","0.57165","0.57165","0.65538","0.65538","0.65538","0.64265","0.64265","0.64265"
"123","0.51863","0.51863","0.51863","0.57608","0.57608","0.57608","0.65215","0.65215","0.65215","0.61901","0.61901","0.61901"
"124","0.48014","0.48014","0.48014","0.54927","0.54927","0.54927","0.65028","0.65028","0.65028","0.63011","0.63011","0.63011"
"125","0.48788","0.48788","0.48788","0.55592","0.55592","0.55592","0.65634","0.65634","0.65634","0.60908","0.60908","0.60908"
"126","0.48804","0.48804","0.48804","0.55306","0.55306","0.55306","0.64583","0.64583","0.64583","0.58167","0.58167","0.58167"
"127","0.49436","0.49436","0.49436","0.54343","0.54343","0.54343","0.65735","0.65735","0.65735","0.59581","0.59581","0.59581"
"128","0.47451","0.47451","0.47451","0.5319","0.5319","0.5319","0.65311","0.65311","0.65311","0.6109","0.6109","0.6109"
