"Step","train/dfl_loss","train/dfl_loss__MIN","train/dfl_loss__MAX"
"289","1.37852","1.37852","1.37852"
"290","1.39438","1.39438","1.39438"
"291","1.36092","1.36092","1.36092"
"292","1.36562","1.36562","1.36562"
"293","1.36917","1.36917","1.36917"
"294","1.35166","1.35166","1.35166"
"295","1.39106","1.39106","1.39106"
"296","1.38846","1.38846","1.38846"
"297","1.3579","1.3579","1.3579"
"298","1.38211","1.38211","1.38211"
"299","1.38408","1.38408","1.38408"
"300","1.39362","1.39362","1.39362"
"301","1.36896","1.36896","1.36896"
"302","1.34956","1.34956","1.34956"
"303","1.35943","1.35943","1.35943"
"304","1.36524","1.36524","1.36524"
"305","1.37646","1.37646","1.37646"
"306","1.39411","1.39411","1.39411"
"307","1.38858","1.38858","1.38858"
"308","1.35834","1.35834","1.35834"
"309","1.37291","1.37291","1.37291"
"310","1.3648","1.3648","1.3648"
"311","1.37071","1.37071","1.37071"
"312","1.3531","1.3531","1.3531"
"313","1.35153","1.35153","1.35153"
"314","1.36705","1.36705","1.36705"
"315","1.36551","1.36551","1.36551"
"316","1.36503","1.36503","1.36503"
"317","1.36284","1.36284","1.36284"
"318","1.36171","1.36171","1.36171"
"319","1.34314","1.34314","1.34314"
"320","1.30632","1.30632","1.30632"
"321","1.35889","1.35889","1.35889"
"322","1.35798","1.35798","1.35798"
"323","1.36162","1.36162","1.36162"
"324","1.32811","1.32811","1.32811"
"325","1.34417","1.34417","1.34417"
"326","1.33416","1.33416","1.33416"
"327","1.34067","1.34067","1.34067"
"328","1.36459","1.36459","1.36459"
"329","1.36736","1.36736","1.36736"
"330","1.35732","1.35732","1.35732"
"331","1.36103","1.36103","1.36103"
"332","1.36129","1.36129","1.36129"
"333","1.34469","1.34469","1.34469"
"334","1.35881","1.35881","1.35881"
"335","1.34912","1.34912","1.34912"
"336","1.35473","1.35473","1.35473"
"337","1.33356","1.33356","1.33356"
"338","1.31807","1.31807","1.31807"
"339","1.34389","1.34389","1.34389"
"340","1.33924","1.33924","1.33924"
"341","1.32901","1.32901","1.32901"
"342","1.3367","1.3367","1.3367"
"343","1.36787","1.36787","1.36787"
"344","1.33188","1.33188","1.33188"
"345","1.31668","1.31668","1.31668"
"346","1.32924","1.32924","1.32924"
"347","1.3375","1.3375","1.3375"
"348","1.33887","1.33887","1.33887"
"349","1.29961","1.29961","1.29961"
"350","1.31933","1.31933","1.31933"
"351","1.3452","1.3452","1.3452"
"352","1.32428","1.32428","1.32428"
"353","1.31538","1.31538","1.31538"
"354","1.31008","1.31008","1.31008"
"355","1.33557","1.33557","1.33557"
"356","1.34753","1.34753","1.34753"
"357","1.35035","1.35035","1.35035"
"358","1.32879","1.32879","1.32879"
"359","1.3252","1.3252","1.3252"
"360","1.3249","1.3249","1.3249"
"361","1.33234","1.33234","1.33234"
"362","1.32538","1.32538","1.32538"
"363","1.34188","1.34188","1.34188"
"364","1.34239","1.34239","1.34239"
"365","1.32416","1.32416","1.32416"
"366","1.29986","1.29986","1.29986"
"367","1.30901","1.30901","1.30901"
"368","1.32327","1.32327","1.32327"
"369","1.32525","1.32525","1.32525"
"370","1.29832","1.29832","1.29832"
"371","1.33084","1.33084","1.33084"
"372","1.33742","1.33742","1.33742"
"373","1.30143","1.30143","1.30143"
"374","1.3064","1.3064","1.3064"
"375","1.31489","1.31489","1.31489"
"376","1.31719","1.31719","1.31719"
"377","1.32814","1.32814","1.32814"
"378","1.31742","1.31742","1.31742"
"379","1.3026","1.3026","1.3026"
"380","1.30397","1.30397","1.30397"
"381","1.33933","1.33933","1.33933"
"382","1.30009","1.30009","1.30009"
"383","1.31624","1.31624","1.31624"
"384","1.31918","1.31918","1.31918"
"385","1.29606","1.29606","1.29606"
"386","1.31955","1.31955","1.31955"
"387","1.28264","1.28264","1.28264"
"388","1.2929","1.2929","1.2929"
"389","1.30772","1.30772","1.30772"
"390","1.31291","1.31291","1.31291"
"391","1.30704","1.30704","1.30704"
"392","1.31397","1.31397","1.31397"
"393","1.29762","1.29762","1.29762"
"394","1.29633","1.29633","1.29633"
"395","1.30332","1.30332","1.30332"
"396","1.29067","1.29067","1.29067"
"397","1.29857","1.29857","1.29857"
"398","1.29348","1.29348","1.29348"
"399","1.30519","1.30519","1.30519"
"400","1.30853","1.30853","1.30853"
"401","1.28789","1.28789","1.28789"
"402","1.30854","1.30854","1.30854"
"403","1.27054","1.27054","1.27054"
"404","1.29567","1.29567","1.29567"
"405","1.30915","1.30915","1.30915"
"406","1.29192","1.29192","1.29192"
"407","1.25522","1.25522","1.25522"
"408","1.26656","1.26656","1.26656"
"409","1.26846","1.26846","1.26846"
"410","1.30683","1.30683","1.30683"
"411","1.26763","1.26763","1.26763"
"412","1.29592","1.29592","1.29592"
"413","1.30049","1.30049","1.30049"
"414","1.30978","1.30978","1.30978"
"415","1.27646","1.27646","1.27646"
"416","1.2934","1.2934","1.2934"
"417","1.27283","1.27283","1.27283"
"418","1.30894","1.30894","1.30894"
"419","1.25487","1.25487","1.25487"
"420","1.29144","1.29144","1.29144"
"421","1.26952","1.26952","1.26952"
"422","1.26006","1.26006","1.26006"
"423","1.2784","1.2784","1.2784"
"424","1.25688","1.25688","1.25688"
"425","1.25617","1.25617","1.25617"
"426","1.26429","1.26429","1.26429"
"427","1.27192","1.27192","1.27192"
"428","1.2711","1.2711","1.2711"
"429","1.25339","1.25339","1.25339"
"430","1.27861","1.27861","1.27861"
"431","1.26045","1.26045","1.26045"
"432","1.26127","1.26127","1.26127"
"433","1.25734","1.25734","1.25734"
"434","1.26433","1.26433","1.26433"
"435","1.26391","1.26391","1.26391"
"436","1.23229","1.23229","1.23229"
"437","1.2471","1.2471","1.2471"
"438","1.26675","1.26675","1.26675"
"439","1.25717","1.25717","1.25717"
"440","1.25483","1.25483","1.25483"
"441","1.23598","1.23598","1.23598"
"442","1.26791","1.26791","1.26791"
"443","1.2632","1.2632","1.2632"
"444","1.24211","1.24211","1.24211"
"445","1.25108","1.25108","1.25108"
"446","1.26663","1.26663","1.26663"
"447","1.25724","1.25724","1.25724"
"448","1.26453","1.26453","1.26453"
"449","1.24391","1.24391","1.24391"
"450","1.25698","1.25698","1.25698"
"451","1.24854","1.24854","1.24854"
"452","1.25865","1.25865","1.25865"
"453","1.23903","1.23903","1.23903"
"454","1.22305","1.22305","1.22305"
"455","1.23534","1.23534","1.23534"
"456","1.25644","1.25644","1.25644"
"457","1.235","1.235","1.235"
"458","1.25061","1.25061","1.25061"
"459","1.24245","1.24245","1.24245"
"460","1.22763","1.22763","1.22763"
"461","1.22878","1.22878","1.22878"
"462","1.24687","1.24687","1.24687"
"463","1.23265","1.23265","1.23265"
"464","1.26359","1.26359","1.26359"
"465","1.24409","1.24409","1.24409"
"466","1.24279","1.24279","1.24279"
"467","1.21827","1.21827","1.21827"
"468","1.22613","1.22613","1.22613"
"469","1.23749","1.23749","1.23749"
"470","1.2397","1.2397","1.2397"
"471","1.25866","1.25866","1.25866"
"472","1.22939","1.22939","1.22939"
"473","1.23328","1.23328","1.23328"
"474","1.20833","1.20833","1.20833"
"475","1.21987","1.21987","1.21987"
"476","1.21192","1.21192","1.21192"
"477","1.2201","1.2201","1.2201"
"478","1.22465","1.22465","1.22465"
"479","1.18839","1.18839","1.18839"
"480","1.21739","1.21739","1.21739"
"481","1.22182","1.22182","1.22182"
"482","1.21332","1.21332","1.21332"
"483","1.21472","1.21472","1.21472"
"484","1.19386","1.19386","1.19386"
"485","1.19973","1.19973","1.19973"
"486","1.21557","1.21557","1.21557"
"487","1.21036","1.21036","1.21036"
"488","1.20334","1.20334","1.20334"
"489","1.19847","1.19847","1.19847"
"490","1.21726","1.21726","1.21726"
"491","1.19647","1.19647","1.19647"
"492","1.17098","1.17098","1.17098"
"493","1.17916","1.17916","1.17916"
"494","1.16337","1.16337","1.16337"
"495","1.16605","1.16605","1.16605"
"496","1.14045","1.14045","1.14045"
"497","1.15394","1.15394","1.15394"
"498","1.1375","1.1375","1.1375"
"499","1.13976","1.13976","1.13976"
"500","1.15088","1.15088","1.15088"
