"Step","05072025_yolov11n_histEQ - train/dfl_loss","05072025_yolov11n_histEQ - train/dfl_loss__MIN","05072025_yolov11n_histEQ - train/dfl_loss__MAX","05072025_yolov11s_histEQ2 - train/dfl_loss","05072025_yolov11s_histEQ2 - train/dfl_loss__MIN","05072025_yolov11s_histEQ2 - train/dfl_loss__MAX","05072025_yolov11l_histEQ3 - train/dfl_loss","05072025_yolov11l_histEQ3 - train/dfl_loss__MIN","05072025_yolov11l_histEQ3 - train/dfl_loss__MAX","04072025_yolov11m_histEQ - train/dfl_loss","04072025_yolov11m_histEQ - train/dfl_loss__MIN","04072025_yolov11m_histEQ - train/dfl_loss__MAX"
"123","1.3037","1.3037","1.3037","1.45127","1.45127","1.45127","1.59433","1.59433","1.59433","1.57379","1.57379","1.57379"
"124","1.29388","1.29388","1.29388","1.446","1.446","1.446","1.57844","1.57844","1.57844","1.52914","1.52914","1.52914"
"125","1.29717","1.29717","1.29717","1.44172","1.44172","1.44172","1.57077","1.57077","1.57077","1.5441","1.5441","1.5441"
"126","1.33157","1.33157","1.33157","1.47054","1.47054","1.47054","1.58304","1.58304","1.58304","1.53294","1.53294","1.53294"
"127","1.31859","1.31859","1.31859","1.46569","1.46569","1.46569","1.60613","1.60613","1.60613","1.53188","1.53188","1.53188"
"128","1.31817","1.31817","1.31817","1.45316","1.45316","1.45316","1.61199","1.61199","1.61199","1.54334","1.54334","1.54334"
"129","1.33546","1.33546","1.33546","1.4845","1.4845","1.4845","1.57942","1.57942","1.57942","1.52332","1.52332","1.52332"
"130","1.3209","1.3209","1.3209","1.48439","1.48439","1.48439","1.58323","1.58323","1.58323","1.53129","1.53129","1.53129"
"131","1.30855","1.30855","1.30855","1.47188","1.47188","1.47188","1.55624","1.55624","1.55624","1.52423","1.52423","1.52423"
"132","1.29675","1.29675","1.29675","1.45321","1.45321","1.45321","1.53369","1.53369","1.53369","1.54145","1.54145","1.54145"
"133","1.30289","1.30289","1.30289","1.45774","1.45774","1.45774","1.54571","1.54571","1.54571","1.492","1.492","1.492"
"134","1.29936","1.29936","1.29936","1.45772","1.45772","1.45772","1.53905","1.53905","1.53905","1.48962","1.48962","1.48962"
"135","1.30073","1.30073","1.30073","1.46556","1.46556","1.46556","1.53365","1.53365","1.53365","1.541","1.541","1.541"
"136","1.30289","1.30289","1.30289","1.47442","1.47442","1.47442","1.55681","1.55681","1.55681","1.51444","1.51444","1.51444"
"137","1.3064","1.3064","1.3064","1.47725","1.47725","1.47725","1.53676","1.53676","1.53676","1.51328","1.51328","1.51328"
"138","1.32656","1.32656","1.32656","1.46118","1.46118","1.46118","1.57139","1.57139","1.57139","1.48481","1.48481","1.48481"
"139","1.31784","1.31784","1.31784","1.47068","1.47068","1.47068","1.56931","1.56931","1.56931","1.50026","1.50026","1.50026"
"140","1.29218","1.29218","1.29218","1.43536","1.43536","1.43536","1.54831","1.54831","1.54831","1.58904","1.58904","1.58904"
"141","1.31001","1.31001","1.31001","1.47338","1.47338","1.47338","1.54597","1.54597","1.54597","1.55936","1.55936","1.55936"
"142","1.29053","1.29053","1.29053","1.42624","1.42624","1.42624","1.521","1.521","1.521","1.51961","1.51961","1.51961"
"143","1.29052","1.29052","1.29052","1.44708","1.44708","1.44708","1.51261","1.51261","1.51261","1.51404","1.51404","1.51404"
"144","1.2951","1.2951","1.2951","1.44814","1.44814","1.44814","1.51116","1.51116","1.51116","1.5066","1.5066","1.5066"
"145","1.28109","1.28109","1.28109","1.45701","1.45701","1.45701","1.54807","1.54807","1.54807","1.51523","1.51523","1.51523"
"146","1.27112","1.27112","1.27112","1.43026","1.43026","1.43026","1.55105","1.55105","1.55105","1.49918","1.49918","1.49918"
"147","1.27411","1.27411","1.27411","1.45031","1.45031","1.45031","1.56143","1.56143","1.56143","1.5292","1.5292","1.5292"
"148","1.282","1.282","1.282","1.46334","1.46334","1.46334","1.52689","1.52689","1.52689","1.49413","1.49413","1.49413"
"149","1.28665","1.28665","1.28665","1.45339","1.45339","1.45339","1.50346","1.50346","1.50346","1.5057","1.5057","1.5057"
